tier	price
566.0	5149.1
567.0	5157.35
568.0	5165.6
569.0	5173.85
570.0	5182.1
571.0	5190.35
572.0	5198.6
573.0	5206.85
574.0	5215.1
575.0	5223.35
576.0	5231.6
577.0	5239.85
578.0	5248.1
579.0	5256.35
580.0	5264.6
581.0	5272.85
582.0	5281.1
583.0	5289.35
584.0	5297.6
585.0	5305.85
586.0	5314.1
587.0	5322.35
588.0	5330.6
589.0	5338.85
590.0	5347.1
591.0	5355.35
592.0	5363.6
593.0	5371.85
594.0	5380.1
595.0	5388.35
596.0	5396.6
597.0	5404.85
598.0	5413.1
599.0	5421.35
600.0	5429.6
601.0	5437.85
602.0	5446.1
603.0	5454.35
604.0	5462.6
605.0	5470.85
606.0	5479.1
607.0	5487.35
608.0	5495.6
609.0	5503.85
610.0	5512.1
611.0	5520.35
612.0	5528.6
613.0	5536.85
614.0	5545.1
615.0	5553.35
616.0	5561.6
617.0	5569.85
618.0	5578.1
619.0	5586.35
620.0	5594.6
621.0	5602.85
622.0	5611.1
623.0	5619.35
624.0	5627.6
625.0	5635.85
626.0	5644.1
627.0	5652.35
628.0	5660.6
629.0	5668.85
630.0	5677.1
631.0	5685.35
632.0	5693.6
633.0	5701.85
634.0	5710.1
635.0	5718.35
636.0	5726.6
637.0	5734.85
638.0	5743.1
639.0	5751.35
640.0	5759.6
641.0	5767.85
642.0	5776.1
643.0	5784.35
644.0	5792.6
645.0	5800.85
646.0	5809.1
647.0	5817.35
648.0	5825.6
649.0	5833.85
650.0	5842.1
651.0	5850.35
652.0	5858.6
653.0	5866.85
654.0	5875.1
655.0	5883.35
656.0	5891.6
657.0	5899.85
658.0	5908.1
659.0	5916.35
660.0	5924.6
661.0	5932.85
662.0	5941.1
663.0	5949.35
664.0	5957.6
665.0	5965.85
666.0	5974.1
667.0	5982.35
668.0	5990.6
669.0	5998.85
670.0	6007.1
671.0	6015.35
672.0	6023.6
673.0	6031.85
674.0	6040.1
675.0	6048.35
676.0	6056.6
677.0	6064.85
678.0	6073.1
679.0	6081.35
680.0	6089.6
681.0	6097.85
682.0	6106.1
683.0	6114.35
684.0	6122.6
685.0	6130.85
686.0	6139.1
687.0	6147.35
688.0	6155.6
689.0	6163.85
690.0	6172.1
691.0	6180.35
692.0	6188.6
693.0	6196.85
694.0	6205.1
695.0	6213.35
696.0	6221.6
697.0	6229.85
698.0	6238.1
699.0	6246.35
700.0	6254.6
701.0	6262.85
702.0	6271.1
703.0	6279.35
704.0	6287.6
705.0	6295.85
706.0	6304.1
707.0	6312.35
708.0	6320.6
709.0	6328.85
710.0	6337.1
711.0	6345.35
712.0	6353.6
713.0	6361.85
714.0	6370.1
715.0	6378.35
716.0	6386.6
717.0	6394.85
718.0	6403.1
719.0	6411.35
720.0	6419.6
721.0	6427.85
722.0	6436.1
723.0	6444.35
724.0	6452.6
725.0	6460.85
726.0	6469.1
727.0	6477.35
728.0	6485.6
729.0	6493.85
730.0	6502.1
731.0	6510.35
732.0	6518.6
733.0	6526.85
734.0	6535.1
735.0	6543.35
736.0	6551.6
737.0	6559.85
738.0	6568.1
739.0	6576.35
740.0	6584.6
741.0	6592.85
742.0	6601.1
743.0	6609.35
744.0	6617.6
745.0	6625.85
746.0	6634.1
747.0	6642.35
748.0	6650.6
749.0	6658.85
750.0	6667.1
751.0	6675.35
752.0	6683.6
753.0	6691.85
754.0	6700.1
755.0	6708.35
756.0	6716.6
757.0	6724.85
758.0	6733.1
759.0	6741.35
760.0	6749.6
761.0	6757.85
762.0	6766.1
763.0	6774.35
764.0	6782.6
765.0	6790.85
766.0	6799.1
767.0	6807.35
768.0	6815.6
769.0	6823.85
770.0	6832.1
771.0	6840.35
772.0	6848.6
773.0	6856.85
774.0	6865.1
775.0	6873.35
776.0	6881.6
777.0	6889.85
778.0	6898.1
779.0	6906.35
780.0	6914.6
781.0	6922.85
782.0	6931.1
783.0	6939.35
784.0	6947.6
785.0	6955.85
786.0	6964.1
787.0	6972.35
788.0	6980.6
789.0	6988.85
790.0	6997.1
791.0	7005.35
792.0	7013.6
793.0	7021.85
794.0	7030.1
795.0	7038.35
796.0	7046.6
797.0	7054.85
798.0	7063.1
799.0	7071.35
800.0	7079.6
801.0	7087.85
802.0	7096.1
803.0	7104.35
804.0	7112.6
805.0	7120.85
806.0	7129.1
807.0	7137.35
808.0	7145.6
809.0	7153.85
810.0	7162.1
811.0	7170.35
812.0	7178.6
813.0	7186.85
814.0	7195.1
815.0	7203.35
816.0	7211.6
817.0	7219.85
818.0	7228.1
819.0	7236.35
820.0	7244.6
821.0	7252.85
822.0	7261.1
823.0	7269.35
824.0	7277.6
825.0	7285.85
826.0	7294.1
827.0	7302.35
828.0	7310.6
829.0	7318.85
830.0	7327.1
831.0	7335.35
832.0	7343.6
833.0	7351.85
834.0	7360.1
835.0	7368.35
836.0	7376.6
837.0	7384.85
838.0	7393.1
839.0	7401.35
840.0	7409.6
841.0	7417.85
842.0	7426.1
843.0	7434.35
844.0	7442.6
845.0	7450.85
846.0	7459.1
847.0	7467.35
848.0	7475.6
849.0	7483.85
850.0	7492.1
851.0	7500.35
852.0	7508.6
853.0	7516.85
854.0	7525.1
855.0	7533.35
856.0	7541.6
857.0	7549.85
858.0	7558.1
859.0	7566.35
860.0	7574.6
861.0	7582.85
862.0	7591.1
863.0	7599.35
864.0	7607.6
865.0	7615.85
866.0	7624.1
867.0	7632.35
868.0	7640.6
869.0	7648.85
870.0	7657.1
871.0	7665.35
872.0	7673.6
873.0	7681.85
874.0	7690.1
875.0	7698.35
876.0	7706.6
877.0	7714.85
878.0	7723.1
879.0	7731.35
880.0	7739.6
881.0	7747.85
882.0	7756.1
883.0	7764.35
884.0	7772.6
885.0	7780.85
886.0	7789.1
887.0	7797.35
888.0	7805.6
889.0	7813.85
890.0	7822.1
891.0	7830.35
892.0	7838.6
893.0	7846.85
894.0	7855.1
895.0	7863.35
896.0	7871.6
897.0	7879.85
898.0	7888.1
899.0	7896.35
900.0	7904.6
901.0	7912.85
902.0	7921.1
903.0	7929.35
904.0	7937.6
905.0	7945.85
906.0	7954.1
907.0	7962.35
908.0	7970.6
909.0	7978.85
910.0	7987.1
911.0	7995.35
912.0	8003.6
913.0	8011.85
914.0	8020.1
915.0	8028.35
916.0	8036.6
917.0	8044.85
918.0	8053.1
919.0	8061.35
920.0	8069.6
921.0	8077.85
922.0	8086.1
923.0	8094.35
924.0	8102.6
925.0	8110.85
926.0	8119.1
927.0	8127.35
928.0	8135.6
929.0	8143.85
930.0	8152.1
931.0	8160.35
932.0	8168.6
933.0	8176.85
934.0	8185.1
935.0	8193.35
936.0	8201.6
937.0	8209.85
938.0	8218.1
939.0	8226.35
940.0	8234.6
941.0	8242.85
942.0	8251.1
943.0	8259.35
944.0	8267.6
945.0	8275.85
946.0	8284.1
947.0	8292.35
948.0	8300.6
949.0	8308.85
950.0	8317.1
951.0	8325.35
952.0	8333.6
953.0	8341.85
