id	Üst Kategori	Alt Kategori 1	Alt Kategori 2	Ürün Grubu (Leaf)	Komisyon % (KDV Dahil)	Pazarlama Hizmet Bedeli %	Pazaryeri Hizmet Bedeli %	Hakediş Süresi (Gün)
n11-464	Lastik & Jant	Jant	Jant	Jant	12%	%1	%0.67	20
n11-465	Lastik & Jant	Kamyon & Kamyonet Lastik	Kamyon & Kamyonet Lastik	Kamyon & Kamyonet Lastik	9%	%1	%0.67	20
n11-466	Lastik & Jant	Lastik & Jant Bakım Ürünleri	Basınç Ölçme Saati	Basınç Ölçme Saati	14%	%1	%0.67	20
n11-467	Lastik & Jant	Lastik & Jant Bakım Ürünleri	Diğer Lastik & Jant Bakım Ürünleri	Diğer Lastik & Jant Bakım Ürünleri	14%	%1	%0.67	20
n11-468	Lastik & Jant	Lastik & Jant Bakım Ürünleri	Kompresör & Hava Pompası	Kompresör & Hava Pompası	14%	%1	%0.67	20
n11-469	Lastik & Jant	Lastik & Jant Bakım Ürünleri	Parlatıcı & Temizleyici Sprey	Parlatıcı & Temizleyici Sprey	14%	%1	%0.67	20
n11-470	Lastik & Jant	Lastik & Jant Bakım Ürünleri	Tamir Spreyi	Tamir Spreyi	14%	%1	%0.67	20
n11-471	Lastik & Jant	Lastik & Jant Ekipmanları	Bijon Anahtarları	Bijon Anahtarları	14%	%1	%0.67	20
n11-472	Lastik & Jant	Lastik & Jant Ekipmanları	Disk Fırfırı	Disk Fırfırı	14%	%1	%0.67	20
n11-473	Lastik & Jant	Lastik & Jant Ekipmanları	Diğer Lastik & Jant Ekipmanları	Diğer Lastik & Jant Ekipmanları	14%	%1	%0.67	20
n11-474	Lastik & Jant	Lastik & Jant Ekipmanları	Jant Kapağı	Jant Kapağı	14%	%1	%0.67	20
n11-475	Lastik & Jant	Lastik & Jant Ekipmanları	Kriko	Kriko	14%	%1	%0.67	20
n11-476	Lastik & Jant	Lastik & Jant Ekipmanları	Sibop Kapağı	Sibop Kapağı	14%	%1	%0.67	20
n11-477	Lastik & Jant	Lastik & Jant Ekipmanları	Stepne Aksesuarları	Stepne Aksesuarları	14%	%1	%0.67	20
n11-478	Lastik & Jant	Lastik & Jant Ekipmanları	Yazı Kalemi	Yazı Kalemi	14%	%1	%0.67	20
n11-479	Lastik & Jant	Lastik & Jant Ekipmanları	Basınç Sensörü	Basınç Sensörü	14%	%1	%0.67	20
n11-480	Lastik & Jant	Motosiklet Lastik	Motosiklet Lastik	Motosiklet Lastik	9%	%1	%0.67	20
n11-481	Lastik & Jant	Oto Lastik	Oto Lastik	Oto Lastik	9%	%1	%0.67	20
n11-482	Lastik & Jant	Oto Lastik Montaj	Oto Lastik Montaj	Oto Lastik Montaj	10%	%1	%0.67	20
n11-483	Lastik & Jant	Stepne	Stepne	Stepne	14%	%1	%0.67	20
n11-484	Lastik & Jant	Traktör Lastik	Traktör Lastik	Traktör Lastik	9%	%1	%0.67	20
n11-485	Motosiklet	Kask	Kask	Kask	10.5%	%1	%0.67	20
n11-486	Motosiklet	Kıyafet & Ekipman	Aksesuar	Aksesuar	10.5%	%1	%0.67	20
n11-487	Motosiklet	Kıyafet & Ekipman	Bot & Ayakkabı	Bot & Ayakkabı	10.5%	%1	%0.67	20
n11-488	Motosiklet	Kıyafet & Ekipman	Eldiven	Eldiven	10.5%	%1	%0.67	20
n11-489	Motosiklet	Kıyafet & Ekipman	Gözlük	Gözlük	10.5%	%1	%0.67	20
n11-490	Motosiklet	Kıyafet & Ekipman	Intercom & Bluetooth	Intercom & Bluetooth	10.5%	%1	%0.67	20
n11-491	Motosiklet	Kıyafet & Ekipman	Koruma Ekipmanları	Dizlik	10.5%	%1	%0.67	20
n11-492	Motosiklet	Kıyafet & Ekipman	Koruma Ekipmanları	Bellik	10.5%	%1	%0.67	20
n11-493	Motosiklet	Kıyafet & Ekipman	Koruma Ekipmanları	Diğer Koruma Ekipmanları	10.5%	%1	%0.67	20
n11-494	Motosiklet	Kıyafet & Ekipman	Koruma Ekipmanları	Sırtlık	10.5%	%1	%0.67	20
n11-495	Motosiklet	Kıyafet & Ekipman	Maske & Balaklava	Maske & Balaklava	10.5%	%1	%0.67	20
n11-496	Motosiklet	Kıyafet & Ekipman	Mont	Mont	10.5%	%1	%0.67	20
n11-497	Motosiklet	Kıyafet & Ekipman	Pantolon	Pantolon	10.5%	%1	%0.67	20
n11-498	Motosiklet	Kıyafet & Ekipman	T-shirt & Şapka	T-shirt & Şapka	10.5%	%1	%0.67	20
n11-499	Motosiklet	Kıyafet & Ekipman	Termal Giyim	Termal Giyim	10.5%	%1	%0.67	20
n11-500	Motosiklet	Kıyafet & Ekipman	Tulum	Tulum	10.5%	%1	%0.67	20
n11-501	Motosiklet	Kıyafet & Ekipman	Yağmurluk	Yağmurluk	10.5%	%1	%0.67	20
n11-502	Motosiklet	Kıyafet & Ekipman	Kask Aksesuarları	Kask Aksesuarları	10.5%	%1	%0.67	20
n11-503	Motosiklet	Motosiklet Modelleri	ATV	ATV	6%	%1	%0.67	5
n11-504	Motosiklet	Motosiklet Modelleri	Commuter	Commuter	6%	%1	%0.67	5
n11-505	Motosiklet	Motosiklet Modelleri	Cup	Cup	6%	%1	%0.67	5
n11-506	Motosiklet	Motosiklet Modelleri	Elektrikli Motosiklet	Elektrikli Motosiklet	6%	%1	%0.67	5
n11-507	Motosiklet	Motosiklet Modelleri	Enduro	Enduro	6%	%1	%0.67	5
n11-508	Motosiklet	Motosiklet Modelleri	Moped	Moped	6%	%1	%0.67	5
n11-509	Motosiklet	Motosiklet Modelleri	Scooter Motosiklet	Scooter Motosiklet	6%	%1	%0.67	5
n11-510	Motosiklet	Motosiklet Modelleri	Touring	Touring	6%	%1	%0.67	5
n11-511	Motosiklet	Motosiklet Modelleri	Chopper/Cruiser	Chopper/Cruiser	6%	%1	%0.67	5
n11-512	Motosiklet	Yedek Parça & Aksesuar	Akü	Akü	14%	%1	%0.67	20
n11-513	Motosiklet	Yedek Parça & Aksesuar	Aydınlatma Ürünleri	Aydınlatma Ürünleri	14%	%1	%0.67	20
n11-514	Motosiklet	Yedek Parça & Aksesuar	Bakım & Koruma	Bakım & Koruma	14%	%1	%0.67	20
n11-515	Motosiklet	Yedek Parça & Aksesuar	Branda & Sele Örtüsü	Branda & Sele Örtüsü	14%	%1	%0.67	20
n11-516	Motosiklet	Yedek Parça & Aksesuar	Buji	Buji	14%	%1	%0.67	20
n11-517	Motosiklet	Yedek Parça & Aksesuar	Debriyaj	Debriyaj	14%	%1	%0.67	20
n11-518	Motosiklet	Yedek Parça & Aksesuar	Egzoz	Egzoz	14%	%1	%0.67	20
n11-519	Motosiklet	Yedek Parça & Aksesuar	Filtre	Filtre	14%	%1	%0.67	20
n11-520	Motosiklet	Yedek Parça & Aksesuar	Fren ve Ekipmanları	Fren ve Ekipmanları	14%	%1	%0.67	20
n11-521	Motosiklet	Yedek Parça & Aksesuar	Kilit & Alarm	Kilit & Alarm	14%	%1	%0.67	20
n11-522	Motosiklet	Yedek Parça & Aksesuar	Koruma Demiri	Koruma Demiri	14%	%1	%0.67	20
n11-523	Motosiklet	Yedek Parça & Aksesuar	Modifiye Ürünler	Modifiye Ürünler	14%	%1	%0.67	20
n11-524	Motosiklet	Yedek Parça & Aksesuar	Süspansiyon	Süspansiyon	14%	%1	%0.67	20
n11-525	Motosiklet	Yedek Parça & Aksesuar	Yağ	Yağ	10%	%1	%0.67	20
n11-526	Motosiklet	Yedek Parça & Aksesuar	Yedek Parça	Yedek Parça	14%	%1	%0.67	20
n11-527	Motosiklet	Yedek Parça & Aksesuar	Çanta	Çanta	14%	%1	%0.67	20
n11-528	Motosiklet	Yedek Parça & Aksesuar	Şanzıman	Şanzıman	14%	%1	%0.67	20
n11-529	Ses Sistemleri & Navigasyon	Multimedya & Navigasyon	Multimedya Sistemleri	Multimedya Sistemleri	12%	%1	%0.67	20
n11-530	Ses Sistemleri & Navigasyon	Multimedya & Navigasyon	Navigasyon (GPS) Cihazları	Navigasyon (GPS) Cihazları	12%	%1	%0.67	20
n11-531	Ses Sistemleri & Navigasyon	Oto Elektroniği	Araç İçi Kamera	Araç İçi Kamera	12%	%1	%0.67	20
n11-532	Ses Sistemleri & Navigasyon	Oto Elektroniği	Arka Görüş Kamerası	Arka Görüş Kamerası	12%	%1	%0.67	20
n11-533	Ses Sistemleri & Navigasyon	Oto Elektroniği	Bluetooth Araç Kiti	Bluetooth Araç Kiti	12%	%1	%0.67	20
n11-534	Ses Sistemleri & Navigasyon	Oto Elektroniği	Komponent	Komponent	12%	%1	%0.67	20
n11-535	Ses Sistemleri & Navigasyon	Oto Elektroniği	Montaj Kitleri	Montaj Kitleri	12%	%1	%0.67	20
n11-536	Ses Sistemleri & Navigasyon	Oto Elektroniği	TV & Monitör	TV & Monitör	12%	%1	%0.67	20
n11-537	Ses Sistemleri & Navigasyon	Oto Elektroniği	USB & SD Çevirici Modül	USB & SD Çevirici Modül	12%	%1	%0.67	20
n11-538	Ses Sistemleri & Navigasyon	Oto Ses Sistemleri	Amplifikatör	Amplifikatör	12%	%1	%0.67	20
n11-539	Ses Sistemleri & Navigasyon	Oto Ses Sistemleri	Teyp, CD, DVD, MP3 Çalar	Teyp, CD, DVD, MP3 Çalar	12%	%1	%0.67	20
n11-540	Ses Sistemleri & Navigasyon	Oto Ses Sistemleri	FM Transmitter	FM Transmitter	12%	%1	%0.67	20
n11-541	Ses Sistemleri & Navigasyon	Oto Ses Sistemleri	Hoparlör	Hoparlör	12%	%1	%0.67	20
n11-542	Ses Sistemleri & Navigasyon	Oto Ses Sistemleri	Subwoofer	Subwoofer	12%	%1	%0.67	20
n11-543	Ses Sistemleri & Navigasyon	Oto Ses Sistemleri	Teyp Çerçeveleri	Teyp Çerçeveleri	12%	%1	%0.67	20
n11-544	Traktör	Traktör Aksesuarları	Traktör Kabin Dışı Aksesuarları	Traktör Kabin Dışı Aksesuarları	14%	%1	%0.67	20
n11-545	Traktör	Traktör Aksesuarları	Traktör Kabin İçi Aksesuarları	Traktör Kabin İçi Aksesuarları	14%	%1	%0.67	20
n11-546	Traktör	Traktör Aksesuarları	Traktör Römorkları	Traktör Römorkları	14%	%1	%0.67	20
n11-547	Traktör	Traktör Aksesuarları	Traktör Brandaları	Traktör Brandaları	14%	%1	%0.67	20
n11-548	Traktör	Traktör Aksesuarları	Traktör Ekipmanları	Traktör Ekipmanları	14%	%1	%0.67	20
n11-549	Traktör	Traktör Aksesuarları	Traktör Zincirleri	Traktör Zincirleri	14%	%1	%0.67	20
n11-550	Traktör	Traktör Yedek Parçaları	Direksiyon Sistemi	Direksiyon Sistemi	14%	%1	%0.67	20
n11-551	Traktör	Traktör Yedek Parçaları	Traktör Egzozları	Traktör Egzozları	14%	%1	%0.67	20
n11-552	Traktör	Traktör Yedek Parçaları	Elektrik ve Aydınlatma	Elektrik ve Aydınlatma	14%	%1	%0.67	20
n11-553	Traktör	Traktör Yedek Parçaları	Traktör Filtreleri	Traktör Filtreleri	14%	%1	%0.67	20
n11-554	Traktör	Traktör Yedek Parçaları	Traktör Fren Sistemleri	Traktör Fren Sistemleri	14%	%1	%0.67	20
n11-555	Traktör	Traktör Yedek Parçaları	Hidrolik Sistemler	Hidrolik Sistemler	14%	%1	%0.67	20
n11-556	Traktör	Traktör Yedek Parçaları	Isıtma ve Soğutma Sistemleri	Isıtma ve Soğutma Sistemleri	14%	%1	%0.67	20
n11-557	Traktör	Traktör Yedek Parçaları	Aktarma Sistemleri	Aktarma Sistemleri	14%	%1	%0.67	20
n11-558	Traktör	Traktör Yedek Parçaları	Motor Sistemleri	Motor Sistemleri	14%	%1	%0.67	20
n11-559	Traktör	Traktör Yedek Parçaları	Traktör Gövdeleri	Traktör Gövdeleri	14%	%1	%0.67	20
n11-560	Traktör	Traktör Yedek Parçaları	Yakıt Sistemleri	Yakıt Sistemleri	14%	%1	%0.67	20
n11-561	Yedek Parça	Egzoz	Egzoz Sistemi	Egzoz Sistemi	14%	%1	%0.67	20
n11-562	Yedek Parça	Egzoz	Egzoz Ucu	Egzoz Ucu	14%	%1	%0.67	20
n11-563	Yedek Parça	Egzoz	Katalitik Konvertör	Katalitik Konvertör	14%	%1	%0.67	20
n11-564	Yedek Parça	Elektrikli Araç Şarj Ekipmanları	Elektrikli Araç Şarj İstasyonu	Elektrikli Araç Şarj İstasyonu	10%	%1	%0.67	20
n11-565	Yedek Parça	Elektrikli Araç Şarj Ekipmanları	Elektrikli Araç Şarj İstasyonu Aksesuarları	Elektrikli Araç Şarj İstasyonu Aksesuarları	14%	%1	%0.67	20
n11-566	Yedek Parça	Far & Aydınlatma	Ampul	Ampul	14%	%1	%0.67	20
n11-567	Yedek Parça	Far & Aydınlatma	Arka Stop Lambası	Arka Stop Lambası	14%	%1	%0.67	20
n11-568	Yedek Parça	Far & Aydınlatma	Projektör & Spot Lambası	Projektör & Spot Lambası	14%	%1	%0.67	20
n11-569	Yedek Parça	Far & Aydınlatma	Tepe Lambası	Tepe Lambası	14%	%1	%0.67	20
n11-570	Yedek Parça	Far & Aydınlatma	Ön Far	Halojen Far	14%	%1	%0.67	20
n11-571	Yedek Parça	Far & Aydınlatma	Ön Far	LED Far	14%	%1	%0.67	20
n11-572	Yedek Parça	Far & Aydınlatma	Ön Far	Sis Farı	14%	%1	%0.67	20
n11-573	Yedek Parça	Far & Aydınlatma	Ön Far	Xenon Far	14%	%1	%0.67	20
n11-574	Yedek Parça	Far & Aydınlatma	Ön Far	Angel Far	14%	%1	%0.67	20
n11-575	Yedek Parça	OEM Yedek Parçalar	Direksiyon & Süspansiyon	Direksiyon & Süspansiyon	14%	%1	%0.67	20
n11-576	Yedek Parça	OEM Yedek Parçalar	Isıtma Soğutma Sistemleri	Isıtma Soğutma Sistemleri	14%	%1	%0.67	20
n11-577	Yedek Parça	OEM Yedek Parçalar	Motor ve Şanzıman	Motor ve Şanzıman	14%	%1	%0.67	20
n11-578	Yedek Parça	OEM Yedek Parçalar	OEM Yedek Parça	OEM Yedek Parça	14%	%1	%0.67	20
n11-579	Yedek Parça	Onarım ve Servis	Araç Takip Sistemleri	Araç Takip Sistemleri	14%	%1	%0.67	20
n11-580	Yedek Parça	Onarım ve Servis	Servis	Servis	14%	%1	%0.67	20
n11-581	Yedek Parça	Onarım ve Servis	Tespit ve Test Cihazları	Tespit ve Test Cihazları	14%	%1	%0.67	20
n11-582	Yedek Parça	Onarım ve Servis	Hizmet & Montaj	Hizmet & Montaj	14%	%1	%0.67	20
n11-583	Yedek Parça	Onarım ve Servis	Periyodik Bakım	Periyodik Bakım	10%	%1	%0.67	20
n11-584	Yedek Parça	Oto Elektrik	Akü	Akü	14%	%1	%0.67	20
n11-585	Yedek Parça	Oto Elektrik	Buji	Buji	14%	%1	%0.67	20
n11-586	Yedek Parça	Oto Elektrik	Dinamo	Dinamo	14%	%1	%0.67	20
n11-587	Yedek Parça	Oto Elektrik	Diğer Oto Elektrik	Diğer Oto Elektrik	14%	%1	%0.67	20
n11-588	Yedek Parça	Oto Elektrik	Korna & Siren	Kompresörlü Korna	14%	%1	%0.67	20
n11-589	Yedek Parça	Oto Elektrik	Korna & Siren	Normal Sesli Korna	14%	%1	%0.67	20
n11-590	Yedek Parça	Oto Elektrik	Korna & Siren	Siren	14%	%1	%0.67	20
n11-591	Yedek Parça	Oto Elektrik	Korna & Siren	Havalı Korna	14%	%1	%0.67	20
n11-592	Yedek Parça	Oto Elektrik	Oto Cam	Cam Modülleri	14%	%1	%0.67	20
n11-593	Yedek Parça	Oto Elektrik	Oto Cam	Cam Açma Kolu	14%	%1	%0.67	20
n11-594	Yedek Parça	Oto Elektrik	Röle	Röle	14%	%1	%0.67	20
n11-595	Yedek Parça	Oto Elektrik	Sensörler	Diğer Sensörler	14%	%1	%0.67	20
n11-596	Yedek Parça	Oto Elektrik	Sensörler	Oksijen Sensörü	14%	%1	%0.67	20
n11-597	Yedek Parça	Oto Elektrik	Sensörler	Park Sensörü	14%	%1	%0.67	20
n11-598	Yedek Parça	Oto Elektrik	Sigorta	Sigorta	14%	%1	%0.67	20
n11-599	Yedek Parça	Oto Elektrik	Silecek Motoru	Silecek Motoru	14%	%1	%0.67	20
n11-600	Yedek Parça	Oto Elektrik	Akü Takviye Kablosu ve Sarj Cihazı	Akü Takviye Kablosu	14%	%1	%0.67	20
n11-601	Yedek Parça	Oto Elektrik	Akü Takviye Kablosu ve Sarj Cihazı	Akü Sarj Cihazı	10%	%1	%0.67	20
n11-602	Yedek Parça	Servis Parçaları	Filtre	Yağ Filtresi	11%	%1	%0.67	20
n11-603	Yedek Parça	Servis Parçaları	Filtre	Diğer Filtre	14%	%1	%0.67	20
n11-604	Yedek Parça	Servis Parçaları	Filtre	Filtre Setleri	14%	%1	%0.67	20
n11-605	Yedek Parça	Servis Parçaları	Filtre	Hava Filtresi	14%	%1	%0.67	20
n11-606	Yedek Parça	Servis Parçaları	Filtre	Polen Filtresi	14%	%1	%0.67	20
n11-607	Yedek Parça	Servis Parçaları	Filtre	Yakıt Filtresi	14%	%1	%0.67	20
n11-608	Yedek Parça	Servis Parçaları	Filtre	Deniz Motor Yağ Filtresi	11%	%1	%0.67	20
n11-609	Yedek Parça	Servis Parçaları	Fren ve Ekipmanları	Fren Balatası	14%	%1	%0.67	20
n11-610	Yedek Parça	Servis Parçaları	Fren ve Ekipmanları	Fren Diski	14%	%1	%0.67	20
n11-611	Yedek Parça	Servis Parçaları	Fren ve Ekipmanları	Fren Ekipmanları	14%	%1	%0.67	20
n11-612	Yedek Parça	Servis Parçaları	Fren ve Ekipmanları	Fren Hidrolik Yağı	11%	%1	%0.67	20
n11-613	Yedek Parça	Servis Parçaları	Silecek	Muz Silecek	14%	%1	%0.67	20
n11-614	Yedek Parça	Servis Parçaları	Silecek	Telli Silecek	14%	%1	%0.67	20
n11-615	Yedek Parça	Servis Parçaları	Tahrik Kayışları & Kitler	Tahrik Kayışları & Kitler	14%	%1	%0.67	20
n11-616	Yedek Parça	Servis Parçaları	Yağ	Şanzıman Yağı	11%	%1	%0.67	20
n11-617	Yedek Parça	Servis Parçaları	Yağ	Diğer Yağ	11%	%1	%0.67	20
n11-618	Yedek Parça	Servis Parçaları	Yağ	Motor Yağı	10%	%1	%0.67	20
n11-619	Yedek Parça	Servis Parçaları	Yağ	Hidrolik Sistem Yağı	11%	%1	%0.67	20
n11-620	Yedek Parça	Servis Parçaları	Yağ	Gres Yağı	11%	%1	%0.67	20
n11-621	Yedek Parça	Servis Parçaları	Yağ	Deniz Motor Yağı	10%	%1	%0.67	20
n11-622	Çocuk Oyuncakları & Parti	Aksesuar ve Yedek Parça	Akülü Araba Yedek Parçaları	Akülü Araba Yedek Parçaları	18%	%1	%0.67	24
n11-623	Çocuk Oyuncakları & Parti	Aksesuar ve Yedek Parça	Scooter & Hoverboard Yedek Parçaları	Scooter & Hoverboard Yedek Parçaları	18%	%1	%0.67	24
n11-624	Çocuk Oyuncakları & Parti	Aksesuar ve Yedek Parça	Çocuk Bisikleti Yedek Parçaları	Çocuk Bisikleti Yedek Parçaları	18%	%1	%0.67	24
n11-625	Çocuk Oyuncakları & Parti	Akülü Araba	Akülü Araba	Akülü Araba	18%	%1	%0.67	24
n11-626	Çocuk Oyuncakları & Parti	Araçlar	Oyuncak Kamyon & Tır	Oyuncak Kamyon & Tır	18%	%1	%0.67	24
n11-627	Çocuk Oyuncakları & Parti	Araçlar	Kumandasız Oyuncak Araba	Kumandasız Oyuncak Araba	18%	%1	%0.67	24
n11-628	Çocuk Oyuncakları & Parti	Araçlar	Oyuncak Tren	Oyuncak Tren	18%	%1	%0.67	24
n11-629	Çocuk Oyuncakları & Parti	Araçlar	Uzaktan Kumandalı Araba	Uzaktan Kumandalı Araba	18%	%1	%0.67	24
n11-630	Çocuk Oyuncakları & Parti	Araçlar	Oyuncak Uçak & Helikopter	Oyuncak Uçak & Helikopter	18%	%1	%0.67	24
n11-631	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Kaydırak	Kaydırak	18%	%1	%0.67	24
n11-632	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Oyun Çadırı	Oyun Çadırı	18%	%1	%0.67	24
n11-633	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Plaj & Havuz Oyuncakları	Plaj & Havuz Oyuncakları	18%	%1	%0.67	24
n11-634	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Salıncak	Salıncak	18%	%1	%0.67	24
n11-635	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Tahterevalli	Tahterevalli	18%	%1	%0.67	24
n11-636	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Top, Frizbi, Yoyo	Top, Frizbi, Yoyo	18%	%1	%0.67	24
n11-637	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Uçurtma	Uçurtma	18%	%1	%0.67	24
n11-638	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Bahçe Oyun Seti	Bahçe Oyun Seti	18%	%1	%0.67	24
n11-639	Çocuk Oyuncakları & Parti	Bahçe & Plaj Oyuncağı	Top Havuzu & Oyun Çiti	Top Havuzu & Oyun Çiti	18%	%1	%0.67	24
n11-640	Çocuk Oyuncakları & Parti	Çocuk Bisikleti & Scooter & Hoverboard	3 Tekerlekli Bisiklet	3 Tekerlekli Bisiklet	18%	%1	%0.67	24
n11-641	Çocuk Oyuncakları & Parti	Çocuk Bisikleti & Scooter & Hoverboard	Çocuk Scooter	Çocuk Scooter	18%	%1	%0.67	24
n11-642	Çocuk Oyuncakları & Parti	Çocuk Bisikleti & Scooter & Hoverboard	Pedallı Araba	Pedallı Araba	18%	%1	%0.67	24
n11-643	Çocuk Oyuncakları & Parti	Çocuk Bisikleti & Scooter & Hoverboard	Hoverboard	Hoverboard	18%	%1	%0.67	24
n11-644	Çocuk Oyuncakları & Parti	Çocuk Bisikleti & Scooter & Hoverboard	Pedalsız Araba	Pedalsız Araba	18%	%1	%0.67	24
n11-645	Çocuk Oyuncakları & Parti	Eğitici Oyuncaklar	Dil & Beceri Oyuncakları	Dil & Beceri Oyuncakları	18%	%1	%0.67	24
n11-646	Çocuk Oyuncakları & Parti	Eğitici Oyuncaklar	Bilim Setleri	Bilim Setleri	18%	%1	%0.67	24
n11-647	Çocuk Oyuncakları & Parti	Eğitici Oyuncaklar	Eğitici Bloklar	Eğitici Bloklar	18%	%1	%0.67	24
n11-648	Çocuk Oyuncakları & Parti	LEGO & Puzzle	LEGO	LEGO	18%	%1	%0.67	24
n11-649	Çocuk Oyuncakları & Parti	LEGO & Puzzle	Puzzle	Puzzle	18%	%1	%0.67	24
n11-650	Çocuk Oyuncakları & Parti	Oyuncak	Ahşap Oyuncaklar	Ahşap Oyuncaklar	18%	%1	%0.67	24
n11-651	Çocuk Oyuncakları & Parti	Oyuncak	Aktivite Merkezi	Aktivite Merkezi	18%	%1	%0.67	24
n11-652	Çocuk Oyuncakları & Parti	Oyuncak	Banyo Oyuncağı	Banyo Oyuncağı	18%	%1	%0.67	24
n11-653	Çocuk Oyuncakları & Parti	Oyuncak	Oyuncak Bebekler	Oyuncak Bebekler	18%	%1	%0.67	24
n11-654	Çocuk Oyuncakları & Parti	Oyuncak	Çocuk Oyun Setleri	Çocuk Oyun Setleri	18%	%1	%0.67	24
n11-655	Çocuk Oyuncakları & Parti	Oyuncak	Evcilik Oyunları	Evcilik Oyunları	18%	%1	%0.67	24
n11-656	Çocuk Oyuncakları & Parti	Oyuncak	Karakter Oyuncak	Karakter Oyuncak	18%	%1	%0.67	24
n11-657	Çocuk Oyuncakları & Parti	Oyuncak	Oyuncak Müzik Aletleri	Oyuncak Müzik Aletleri	18%	%1	%0.67	24
n11-658	Çocuk Oyuncakları & Parti	Oyuncak	Oyun Hamuru	Oyun Hamuru	18%	%1	%0.67	24
n11-659	Çocuk Oyuncakları & Parti	Oyuncak	Oyuncak Arabalar	Oyuncak Arabalar	18%	%1	%0.67	24
n11-660	Çocuk Oyuncakları & Parti	Oyuncak	Peluş Oyuncaklar	Peluş Oyuncaklar	18%	%1	%0.67	24
n11-661	Çocuk Oyuncakları & Parti	Oyuncak	Sallanan Oyuncak	Sallanan Oyuncak	18%	%1	%0.67	24
n11-662	Çocuk Oyuncakları & Parti	Oyuncak	Spor Oyuncakları	Spor Oyuncakları	18%	%1	%0.67	24
n11-663	Çocuk Oyuncakları & Parti	Oyuncak	Yapı Oyuncakları	Yapı Oyuncakları	18%	%1	%0.67	24
n11-664	Çocuk Oyuncakları & Parti	Oyuncak	Çocuk Aksesuarı	Çocuk Aksesuarı	18%	%1	%0.67	24
n11-665	Çocuk Oyuncakları & Parti	Oyuncak	Teşhir Oyuncak	Teşhir Oyuncak	18%	%1	%0.67	24
n11-666	Çocuk Oyuncakları & Parti	Parti Malzemeleri	Balon	Balon	18%	%1	%0.67	24
n11-667	Çocuk Oyuncakları & Parti	Parti Malzemeleri	Parti Aksesuarı	Parti Aksesuarı	18%	%1	%0.67	24
n11-668	Çocuk Oyuncakları & Parti	Parti Malzemeleri	Parti Davetiyesi	Parti Davetiyesi	18%	%1	%0.67	24
n11-669	Çocuk Oyuncakları & Parti	Parti Malzemeleri	Parti Kostümü	Parti Kostümü	18%	%1	%0.67	24
n11-670	Çocuk Oyuncakları & Parti	Parti Malzemeleri	Parti Sofrası	Parti Sofrası	18%	%1	%0.67	24
n11-671	Dijital Kodlar & Ürünler	Cüzdan Kodları & E-Pin	Cüzdan Kodları & E-Pin	Cüzdan Kodları & E-Pin	7%	%1	%0.67	20
n11-672	Dijital Kodlar & Ürünler	Dijital Üyelikler	Yayın Platformları	Yayın Platformları	7%	%1	%0.67	20
n11-673	Dijital Kodlar & Ürünler	Dijital Üyelikler	Hediye Kartları	Hediye Kartları	7%	%1	%0.67	20
n11-674	Dijital Kodlar & Ürünler	Dijital Üyelikler	Alışveriş Kartları	Alışveriş Kartları	7%	%1	%0.67	20
n11-675	Dijital Kodlar & Ürünler	Dijital Üyelikler	E-Kitap	E-Kitap	7%	%1	%0.67	20
n11-676	Dijital Kodlar & Ürünler	Dijital Yardım Kartları	Dijital Yardım Kartları	Dijital Yardım Kartları	0%	%1	%0.67	20
n11-677	Düğün, Davet, Organizasyon	Çeyiz	Sandık & Bohça	Sandık & Bohça	21%	%1	%0.67	24
n11-678	Düğün, Davet, Organizasyon	Çeyiz	Set	Set	21%	%1	%0.67	24
n11-679	Düğün, Davet, Organizasyon	Düğün	Düğün Aksesuar	Düğün Aksesuar	21%	%1	%0.67	24
n11-680	Düğün, Davet, Organizasyon	Düğün	Anı Defteri	Anı Defteri	21%	%1	%0.67	24
n11-681	Düğün, Davet, Organizasyon	Düğün	Davetiye	Davetiye	21%	%1	%0.67	24
n11-682	Düğün, Davet, Organizasyon	Düğün	Gelin Saç & Makyaj	Gelin Saç & Makyaj	21%	%1	%0.67	24
n11-683	Düğün, Davet, Organizasyon	Düğün	Nikah Şekeri	Nikah Şekeri	21%	%1	%0.67	24
n11-684	Düğün, Davet, Organizasyon	Kına Gecesi	Kına Gecesi Aksesuar	Kına Gecesi Aksesuar	21%	%1	%0.67	24
n11-685	Düğün, Davet, Organizasyon	Kına Gecesi	Kına Gecesi Giyim	Kına Gecesi Giyim	21%	%1	%0.67	24
n11-686	Düğün, Davet, Organizasyon	Kına Gecesi	Kına Gecesi Organizasyon	Kına Gecesi Organizasyon	21%	%1	%0.67	24
n11-687	Düğün, Davet, Organizasyon	Parti	Kokteyl	Kokteyl	21%	%1	%0.67	24
n11-688	Düğün, Davet, Organizasyon	Parti	Mezuniyet	Mezuniyet	21%	%1	%0.67	24
